Programme,Category,Male,Female,Others,Total
MSc in Physics,GENERAL,11,0,0,11
Integrated 5 Year MA in Sanskrit(M),GENERAL,8,0,0,8
,OBC,6,0,0,6
,SC,2,0,0,2
MSc in Mathematics,GENERAL,5,3,0,8
,OBC,2,0,0,2
MSc in Computer Science,GENERAL,4,0,0,4
,SC,1,0,0,1
MSc in Big Data Analytics,GENERAL,6,1,0,7
Integrated MPhil-PhD in Sanskrit,GENERAL,1,0,0,1
PhD in Physics,GENERAL,2,0,0,2
PG Diploma in Yoga,GENERAL,4,0,0,4
,OBC,3,0,0,3
,SC,5,0,0,5
Diploma in Agriculture & Rural Development,GENERAL,4,0,0,4
,OBC,3,5,0,8
,SC,0,2,0,2
,ST,1,8,0,9
MA/MSc in Rural Development & Management,GENERAL,1,0,0,1
,OBC,6,0,0,6
,ST,1,0,0,1
"5 yr Intd. MSc in Agriculture, Rural & Tribal Development",GENERAL,16,3,0,19
,OBC,5,0,0,5
,SC,5,1,0,6
B.Ed in Special Education(VI),OBC,1,3,0,4
B.Ed in Special Education (HI),OBC,1,1,0,2
BSc (Agriculture),OBC,53,0,0,53
,SC,7,0,0,7
Bachelor of Physical Education (BPED),GENERAL,1,0,0,1
,OBC,34,0,0,34
,SC,9,0,0,9
"BSc in Physical Education, Health Education and Sports",GENERAL,1,0,0,1
,OBC,19,0,0,19
,SC,5,0,0,5
Master of Physical Education(MPED),GENERAL,2,0,0,2
,OBC,12,0,0,12
,SC,5,0,0,5
M.Ed in Special Education(VI),OBC,1,0,0,1
M.Ed in Special Education(HI),OBC,0,2,0,2
Intd. MPhil-PhD in Special Education,GENERAL,0,2,0,2
MSc in Agricultural Biotechnology,GENERAL,3,11,0,14
,OBC,1,2,0,3
,SC,3,1,0,4
MSc in Agriculture and Rural Development,GENERAL,5,9,0,14
,OBC,1,2,0,3
,SC,4,0,0,4
PG Diploma in Post Harvest & Food Technology,GENERAL,2,4,0,6
Total,,272,60,0,332
