Programme,Category,Male,Female,Others,Total
Diploma in Indian Heritage and Philosophy,GENERAL,1,0,0,1
,SC,1,0,0,1
MSc in Computer Science,GENERAL,9,0,0,9
,OBC,2,0,0,2
MSc in Big Data Analytics,GENERAL,13,2,0,15
,OBC,2,0,0,2
,SC,1,0,0,1
MSc in Physics,GENERAL,17,1,0,18
,OBC,1,0,0,1
Integrated 5 Year MA in Sanskrit(M),GENERAL,4,0,0,4
,OBC,5,0,0,5
,SC,8,0,0,8
MSc in Mathematics,GENERAL,5,4,0,9
,OBC,1,0,0,1
PhD in Yoga,GENERAL,1,0,0,1
,SC,1,0,0,1
PhD in Physics,GENERAL,3,0,0,3
PhD in Sports Science,GENERAL,1,0,0,1
,SC,3,0,0,3
PG Diploma in Yoga,GENERAL,7,0,0,7
,OBC,1,0,0,1
,SC,3,0,0,3
Certificate Course in BAPN,GENERAL,9,0,0,9
Certificate Course in Yoga,GENERAL,10,0,0,10
,OBC,1,0,0,1
,SC,1,0,0,1
Diploma in Organic Farming,GENERAL,3,1,0,4
,OBC,4,6,0,10
,ST,1,0,0,1
Diploma in Agriculture & Rural Development,GENERAL,4,1,0,5
,OBC,6,12,0,18
,ST,2,2,0,4
MA/MSc in Rural Development & Management,GENERAL,1,0,0,1
,OBC,6,4,0,10
,SC,2,1,0,3
"MSc in Agriculture, Rural & Tribal Development",GENERAL,1,0,0,1
"5 yr Intd. MSc in Agriculture, Rural & Tribal Development",GENERAL,9,8,0,17
,OBC,2,4,0,6
,SC,1,2,0,3
,ST,2,0,0,2
B.Ed in Special Education(VI),OBC,3,1,0,4
B.Ed in Special Education (HI),OBC,3,3,0,6
,SC,1,1,0,2
"BSc in Physical Education, Health Education and Sports",GENERAL,3,0,0,3
,OBC,27,0,0,27
,SC,5,0,0,5
BSc (Agriculture),GENERAL,1,0,0,1
,OBC,54,0,0,54
,SC,5,0,0,5
Bachelor of Physical Education (BPED),GENERAL,5,0,0,5
,OBC,28,0,0,28
,SC,12,0,0,12
M.Ed in Special Education(VI),OBC,0,1,0,1
Master of Physical Education(MPED),GENERAL,1,0,0,1
,OBC,10,0,0,10
,SC,4,0,0,4
Intd B.Ed-M.Ed Special Education(ID),GENERAL,0,3,0,3
,OBC,0,7,0,7
,SC,1,0,0,1
M.Ed in Special Education(HI),GENERAL,0,2,0,2
,OBC,1,0,0,1
Intd. MSc in Computer Science Applications,UNKNOWN,16,0,0,16
Intd. MPhil-PhD in Physical Education,SC,1,0,0,1
Intd. MPhil-PhD in Special Education,GENERAL,1,0,0,1
MSc in Agriculture and Rural Development,GENERAL,3,12,0,15
,OBC,2,0,0,2
,SC,5,2,0,7
MSc in Agricultural Biotechnology,GENERAL,4,7,0,11
,OBC,1,0,0,1
MSc in Environment and Disaster Management,GENERAL,4,4,0,8
,SC,1,0,0,1
MSc (Ag.) in Genetics & Plant Breeding,GENERAL,1,1,0,2
,OBC,0,1,0,1
PG Diploma in Post Harvest & Food Technology,GENERAL,2,4,0,6
,OBC,0,1,0,1
Total,,360,98,0,458
