Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
A16,Faculty,Computer Applications [MSY CP 107 ] [CORE],MA / MSc in Yoga,1,0,0
,,Sports Coaching & Training Methods (Th+Pr) [SSMSCTP 106 ] [CORE],MSc in Sports Science,1,0,0
,,Sports Psychology [SSMSCTP 202] [CORE],MSc in Sports Science,2,14,14
,,Computer Applications (Pr) [SSMSCP 101 ] [CORE],MSc in Sports Science,1,0,0
A17,Faculty,अर्थसङ्ग्रहः [SK-311] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,"भगवद्गीतायाः 2,3,4 अध्यायाः सशांकरभाष्याः [SK-125] [CORE]",Integrated 5 Year MA in Sanskrit(M),7,0,0
,,चतुःसूत्री भामतीसहिता [SK-141] [CORE],Integrated 5 Year MA in Sanskrit(M),8,0,0
,,भगवद्गीतायाः 13- 15- 18 अध्यायाः सशांकरभाष्याः [SK-126] [CORE],Integrated 5 Year MA in Sanskrit(M),8,0,0
,,पञ्चपादिकाविवरणप्रमेयसङ्ग्रहः प्रथमसूत्रे प्रथमं वर्णकम्  [SK-184] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,वेदान्तशास्त्रेतिहासः [SK-165] [CORE],Integrated 5 Year MA in Sanskrit(M),10,0,0
A18,Faculty,Hindi (Compulsory Language) [HN-641] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,Hindi (Compulsory Language) [HN-641] [CORE],Integrated 5 Year MA in Sanskrit(M),4,11,11
,,न्यायसिद्धान्तमुक्तावल्याम् प्रत्यक्षखण्डः पस्पशाह्निकम् च [SK-344] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,सिद्धान्तकौमुद्यां तिङन्ते भ्वादिप्रकरणम् (सूसं.273) [SK-221] [CORE],Integrated 5 Year MA in Sanskrit(M),6,22,22
,,न्यायसिद्धान्तमुक्तावल्याम् अनुमानखण्डः शब्दखण्डश्च [SK-345] [CORE],Integrated 5 Year MA in Sanskrit(M),6,21,21
,,सिद्धान्तकौमुद्याम् अदादितः णिजन्तपर्यन्तम् (सूसं.180) [SK-223] [CORE],Integrated 5 Year MA in Sanskrit(M),6,21,21
,,लघुशब्देन्दुशेखरे आदितः न पदान्तद्विरिति सूत्रं यावत् [SK-265] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,वैयाकरणभूषणसारे (1-4) आदितो नामार्थप्रकरणं यावत् [SK-271] [CORE],Integrated 5 Year MA in Sanskrit(M),8,19,19
,,व्युत्पत्तिवादे प्रथमाकारके अभेदान्वयवादपर्यन्तम् [SK-370] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,व्युत्पत्तिवादे प्रथमाकारके अभेदान्वयवादपर्यन्तम् [SK-370] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
A19,Faculty,Spiritual Heritage of India [SH-605] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
,,Spiritual Heritage of India [SH-605] [CORE],Integrated 5 Year MA in Sanskrit(W),10,0,0
A20,Faculty,Yoga Practicum II [MSY CP 206] [CORE],MA / MSc in Yoga,2,10,4
A21,Faculty,लघुसिद्धान्तकौमुद्यां तिङन्तप्रकरणम् (सूसं.325) [SK-238] [CORE],Integrated 5 Year MA in Sanskrit(M),2,22,22
,,अभिज्ञानशाकुन्तले आदितः चत्वारः अङ्काः [SK-413] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,Computer Applications NLP (General) [CA-625] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,Computer Applications NLP (General) [CA-626] [CORE],Integrated 5 Year MA in Sanskrit(M),6,16,16
,,सिद्धान्तकौमुद्याम् एकशेषात् समासाश्रयं यावत् स्त्रीप्रत्ययश्च (सूसं.220) [SK-215] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,ऋग्वेदीयम् अग्निसूक्तम्(1.1.1)- इन्द्रसूक्तम् (1.32)- पुरुषसूक्तं(10.7.90)- देवीसूक्तम् (10.10.125)- नासदीयसूक्तं(10.11.129) च सायणभाष्योपेतम्- (35 SCH)- निरुक्ते प्रथमद्वितीयाध्यायौ ( 20 SCH) [SK-301] [CORE],Integrated 5 Year MA in Sanskrit(M),8,16,16
,,वैयाकरणभूषणसारे (5-14) समासशक्तिनिर्णयतः अन्तं यावत् [SK-273] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,व्याकरणशास्त्रेतिहासः [SK-293] [CORE],Integrated 5 Year MA in Sanskrit(M),10,7,7
,,वैयाकरणभूषणसारे (5-14) समासशक्तिनिर्णयतः अन्तं यावत् [SK-273] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
,,व्याकरणशास्त्रेतिहासः [SK-293] [CORE],Integrated 5 Year MA in Sanskrit(W),10,8,8
A22,Faculty,Biomechanics of Human Movement (Th+Pr) [SSMSCTP 104 ] [CORE],MSc in Sports Science,1,0,0
A23,Faculty,Condensed Matter Physics I [PHY520] [CORE],MSc in Physics,3,0,0
,,Advanced Condensed Matter Physics  [PHY527] [ELECT],MSc in Physics,4,15,15
A24,Faculty,Linear Algebra I [M 204] [CORE],MSc in Mathematics,1,0,0
,,Linear Algebra II [M 207] [CORE],MSc in Mathematics,2,14,14
,,Set Theory and Methodology of Mathematics [M 215] [CORE],MSc in Mathematics,1,0,0
A25,Faculty,Computer Fundamentals and Computational Physics [PHY415] [CORE],MSc in Physics,1,0,0
,,Quantum Field Theory I [PHY513] [CORE],MSc in Physics,3,0,0
,,Quantum Field Theory II  [PHY526] [ELECT],MSc in Physics,4,15,15
A26,Faculty,Linear Algebra II [M 207] [CORE],MSc in Mathematics,3,0,0
,,Topology II [M 212] [CORE],MSc in Mathematics,4,19,19
,,Set Theory and Methodology of Mathematics [M 215] [CORE],MSc in Mathematics,1,0,0
A27,Faculty,ईशमुण्डकोपनिषदौ शाङ्करभाष्यसहिते [SK-102] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,ब्रह्मसूत्रे प्रथमाध्याये प्रथमद्वितीयपादौ शाङ्करभाष्योपेतौ [SK-131] [CORE],Integrated 5 Year MA in Sanskrit(M),6,34,34
